1496303528.864107, 1
1496303528.923432, 2
1496303528.923439, 3
1496303528.984504, 4
1496303528.984510, 5
1496303528.993852, 6
1496303528.993859, 7
1496303529.004130, 8
1496303529.013994, 9
1496303529.044106, 10
1496303529.044112, 11
1496303529.053708, 12
1496303529.053872, 13
1496303529.064988, 14
1496303529.074009, 15
1496303529.074184, 16
1496303529.083865, 17
1496303529.094189, 18
1496303529.094196, 19
1496303529.103896, 20
1496303529.103937, 21
1496303529.114136, 22
1496303529.123575, 23
1496303529.123581, 24
1496303529.133838, 25
1496303529.133857, 26
1496303529.143385, 27
1496303529.154032, 28
1496303529.154037, 29
1496303529.164139, 30
1496303529.164145, 31
1496303529.174328, 32
1496303529.183551, 33
1496303529.183557, 34
1496303529.193735, 35
1496303529.193762, 36
1496303529.203460, 37
1496303529.214309, 38
1496303529.214315, 39
1496303529.223999, 40
1496303529.224006, 41
1496303529.234240, 42
1496303529.243828, 43
1496303529.243849, 44
1496303529.253481, 45
1496303529.264627, 46
1496303529.264634, 47
1496303529.273644, 48
1496303529.273650, 49
1496303529.285717, 50
1496303529.294223, 51
1496303529.294326, 52
1496303529.305271, 53
1496303529.305278, 54
1496303529.314845, 55
1496303529.323872, 56
1496303529.323890, 57
1496303529.334278, 58
1496303529.334284, 59
1496303529.343454, 60
1496303529.353376, 61
1496303529.353383, 62
1496303529.364924, 63
1496303529.364929, 64
1496303529.373437, 65
1496303529.384014, 66
1496303529.384020, 67
1496303529.393626, 68
1496303529.393631, 69
1496303529.403663, 70
1496303529.416048, 71
1496303529.416054, 72
1496303529.423690, 73
1496303529.423694, 74
1496303529.433780, 75
1496303529.443532, 76
1496303529.443537, 77
1496303529.454096, 78
1496303529.464582, 79
1496303529.464587, 80
1496303529.473310, 81
1496303529.473330, 82
1496303529.483875, 83
1496303529.494299, 84
1496303529.494305, 85
1496303529.503728, 86
1496303529.503735, 87
1496303529.503736, 88
1496303529.514177, 89
1496303529.523785, 90
1496303529.523790, 91
1496303529.534387, 92
1496303529.534393, 93
1496303529.543634, 94
1496303529.553971, 95
1496303529.553977, 96
1496303529.563409, 97
1496303529.563415, 98
1496303529.573940, 99
1496303529.584081, 100
1496303529.584103, 101
1496303529.593523, 102
1496303529.593528, 103
1496303529.604039, 104
1496303529.614608, 105
1496303529.614615, 106
1496303529.623621, 107
1496303529.623631, 108
1496303529.633577, 109
1496303529.644119, 110
1496303529.644159, 111
1496303529.653797, 112
1496303529.653803, 113
1496303529.664314, 114
1496303529.673683, 115
1496303529.673689, 116
1496303529.684440, 117
1496303529.693993, 118
1496303529.694000, 119
1496303529.703331, 120
1496303529.703365, 121
1496303529.713976, 122
1496303529.724038, 123
1496303529.724044, 124
1496303529.735281, 125
1496303529.735290, 126
1496303529.743933, 127
1496303529.753507, 128
1496303529.753514, 129
1496303529.764287, 130
1496303529.764306, 131
1496303529.773960, 132
1496303529.785174, 133
1496303529.785199, 134
1496303529.793550, 135
1496303529.793556, 136
1496303529.804142, 137
1496303529.813793, 138
1496303529.813799, 139
1496303529.824068, 140
1496303529.824074, 141
1496303529.833822, 142
1496303529.843853, 143
1496303529.843859, 144
1496303529.853740, 145
1496303529.853746, 146
1496303529.864308, 147
1496303529.873797, 148
1496303529.873804, 149
1496303529.884252, 150
1496303529.893785, 151
1496303529.893793, 152
1496303529.904193, 153
1496303529.904200, 154
1496303529.913884, 155
1496303529.923882, 156
1496303529.923924, 157
1496303529.934374, 158
1496303529.934382, 159
1496303529.943727, 160
1496303529.954028, 161
1496303529.954036, 162
1496303529.954036, 163
1496303529.963319, 164
1496303529.963396, 165
1496303529.973944, 166
1496303529.983794, 167
1496303529.983800, 168
1496303529.994057, 169
1496303529.994065, 170
1496303530.003536, 171
1496303530.014076, 172
1496303530.014102, 173
1496303530.023572, 174
1496303530.023578, 175
1496303530.034094, 176
1496303530.043223, 177
1496303530.043229, 178
1496303530.053710, 179
1496303530.053717, 180
1496303530.063960, 181
1496303530.074125, 182
1496303530.074153, 183
1496303530.083770, 184
1496303530.083779, 185
1496303530.094322, 186
1496303530.103834, 187
1496303530.103853, 188
1496303530.116552, 189
1496303530.123836, 190
1496303530.123852, 191
1496303530.133982, 192
1496303530.133989, 193
1496303530.144440, 194
1496303530.154022, 195
1496303530.154029, 196
1496303530.164141, 197
1496303530.164163, 198
1496303530.173578, 199
1496303530.184477, 200
1496303530.184508, 201
1496303530.193618, 202
1496303530.193641, 203
1496303530.204019, 204
1496303530.213850, 205
1496303530.213872, 206
1496303530.225158, 207
1496303530.225165, 208
1496303530.233653, 209
1496303530.244194, 210
1496303530.244215, 211
1496303530.253390, 212
1496303530.253396, 213
1496303530.263984, 214
1496303530.274374, 215
1496303530.274380, 216
1496303530.283817, 217
1496303530.283837, 218
1496303530.294373, 219
1496303530.303873, 220
1496303530.303880, 221
1496303530.314017, 222
1496303530.314025, 223
1496303530.323447, 224
1496303530.334317, 225
1496303530.334325, 226
1496303530.343505, 227
1496303530.354008, 228
1496303530.354014, 229
1496303530.365202, 230
1496303530.365224, 231
1496303530.365286, 232
1496303530.373518, 233
1496303530.383621, 234
1496303530.383627, 235
1496303530.394290, 236
1496303530.394334, 237
1496303530.403711, 238
1496303530.415228, 239
1496303530.415235, 240
1496303530.424263, 241
1496303530.424269, 242
1496303530.433612, 243
1496303530.444715, 244
1496303530.444762, 245
1496303530.453965, 246
1496303530.453971, 247
1496303530.467330, 248
1496303530.474205, 249
1496303530.474228, 250
1496303530.483621, 251
1496303530.483628, 252
1496303530.493918, 253
1496303530.504508, 254
